timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,14.2,-1.7166,9.1099,0.3475,-1.4845,-0.575
20,7.9703,-5.6024,3.2753,-0.2284,-1.6505,0.0205
40,1.4102,-2.5546,-3.7206,-0.2089,-0.813,0.2364
60,1.1588,2.0877,-1.1277,1.275,1.0198,0.2305
80,7.2305,5.4468,5.8586,2.5327,1.6918,0.0815
100,14.2359,4.6136,11.3916,2.3627,0.9097,-0.0869
120,19.2494,0.2346,14.3508,0.7437,-0.5638,-0.1082
140,9.9288,-2.3535,4.6112,-0.6635,-3.1315,-0.2092
160,-11.4802,-2.818,-10.7045,-0.7911,-2.1687,-1.0611
180,-4.8052,4.1659,-7.5058,-0.3882,3.1757,-0.2785
200,16.2997,5.6814,13.6422,-0.9734,5.3154,1.6526
220,29.9227,-0.9864,19.9892,-1.6787,1.595,1.38
240,16.6205,-2.0997,14.5855,-1.3571,-3.0601,0.32
260,-0.8835,2.9066,4.2234,-0.5324,-3.9087,-1.1234
280,-7.0246,3.3639,-7.4627,0.8892,-2.0736,-1.7501
300,-1.4269,3.2753,-1.6879,1.2793,1.089,-0.478
320,12.5384,2.5307,9.0237,0.1756,2.6361,1.0237
340,17.5112,-0.7973,10.4363,-0.2241,0.9659,0.9926
360,10.9559,-2.387,5.9256,0.4114,-1.2433,-0.5225
380,5.3343,-0.6081,2.6097,0.7767,-1.2593,-0.9182
400,6.1148,-0.2251,3.0885,0.3485,0.3523,0.0813
420,8.6048,-0.7566,4.5586,-0.125,0.9318,0.744
440,9.6534,-0.6512,4.9344,-0.1713,0.7949,0.4978
460,10.6566,-0.1891,6.0238,0.0067,0.5295,0.2811
480,11.0181,0.1125,6.6272,-0.1031,0.1828,0.2619
500,9.7851,0.3136,6.0501,-0.1407,-0.0877,0.1684
520,8.77,0.5866,5.5306,-0.0703,-0.1617,-0.1053
540,8.4348,1.336,4.9105,0.0043,-0.1974,-0.4266
560,9.1267,2.1452,4.9799,0.0059,-0.2012,-0.3525
580,9.6606,1.9201,6.11,-0.0397,0.0093,-0.0997
600,10.1754,1.7095,6.3734,-0.1391,-0.1972,-0.1418
620,9.5146,1.0367,5.1547,-0.1729,-0.3989,-0.3984
640,8.7149,0.2131,2.5211,-0.0205,-0.4541,-0.7469
660,5.5426,-2.3679,-3.723,0.1132,-0.6747,-0.8521
680,-3.2489,-2.5019,-8.3749,0.3405,0.3608,-0.1601
700,-5.6551,-1.7645,-0.6345,0.4293,3.0241,0.4847
720,7.6064,6.3327,14.303,1.1303,4.0577,-0.0016
740,26.5421,9.7731,21.9309,0.8839,1.7677,-0.6424
760,30.5285,8.2959,22.1057,0.7887,-1.3355,0.081
780,19.3619,0.2945,16.4697,0.5918,-4.2845,0.5558
800,-1.549,-6.8139,2.7629,0.0911,-4.994,-0.1103
820,-15.1744,-9.991,-15.3085,-0.9769,-2.1178,-0.6448
840,-10.0293,-0.0383,-8.5377,-1.2553,2.6257,-0.1138
860,10.1945,7.9847,10.5369,-1.1333,4.7111,0.7834
880,23.4943,8.8178,17.437,-0.6339,1.9905,0.6864
900,22.1703,5.77,15.3181,0.5167,-1.0957,0.0546
920,9.4643,-4.1803,6.7038,0.445,-3.9796,-0.631
940,-12.2846,-2.6695,-9.5864,0.6694,-2.6052,-1.6076
960,0.9361,0.8835,-0.1413,-0.0051,2.3108,0.0698
980,9.9431,2.8706,9.1387,-1.4099,2.7635,1.2881
1000,13.2375,3.9456,6.6032,-0.3333,1.1836,0.2364
1020,15.4258,5.849,9.3063,0.8359,0.2907,-0.2502
1040,20.1065,3.7421,12.5935,0.5505,-0.5862,0.3349
1060,14.1521,-0.1508,7.6591,0.3781,-2.7033,0.7237
1080,-0.577,-3.1556,0.2394,1.0251,-3.3787,-0.0943
1100,-4.2737,-3.7493,-2.8012,0.8916,-1.0541,-0.7682
1120,2.7701,-0.7398,1.7095,-0.3597,1.6792,-0.1175
1140,12.2894,4.0175,6.2058,-0.9435,2.4195,0.494
1160,16.8767,4.9823,8.7652,-0.4887,1.101,0.7871
1180,13.6493,2.5355,7.908,0.2587,-0.7147,0.0735
1200,10.4267,0.2921,5.0566,0.4495,-1.4218,-0.3842
1220,6.6152,-0.5004,1.5921,-0.089,-1.3856,-0.1895
1240,4.7405,0.2227,0.3998,-0.696,-0.2976,0.0557
1260,6.766,1.3862,2.4205,-1.015,0.6174,0.1005
1280,9.1937,2.9185,4.0725,-0.8593,0.8191,-0.0437
1300,11.3318,3.237,5.4731,-0.5284,0.4596,-0.114
1320,10.999,2.7509,4.7501,-0.2569,-0.1799,-0.2401
1340,9.5984,2.1572,4.0654,-0.0448,-0.4165,-0.4066
1360,9.4379,2.3272,4.7142,-0.0703,-0.3805,-0.4477
1380,10.3214,3.3232,6.6583,-0.0655,-0.3256,-0.4804
1400,12.4738,3.237,8.8274,0.3912,-0.7709,-0.6739
1420,11.0109,2.3176,7.4867,0.5862,-2.1607,-0.935
1440,5.9041,0.5746,1.8794,0.1082,-2.643,-0.8897
1460,3.7637,-0.984,-4.7142,-0.2875,-1.8631,-0.6742
1480,-0.2131,-4.1683,-11.4898,-0.6091,-0.9982,-0.1407
1500,-9.7133,-3.4333,-11.1163,-0.8111,1.5559,1.1575
1520,-4.5873,2.3942,3.8188,-0.9329,5.4089,1.5684
1540,16.034,5.5426,19.2949,-0.9627,6.7013,2.0171
1560,31.2491,7.2281,22.3187,-0.5204,2.5053,1.259
1580,24.3634,4.1779,15.9526,0.7781,-2.0651,0.2827
1600,11.9231,-1.8483,9.3781,1.2886,-4.3297,0.069
1620,-3.3686,-4.9632,0.7997,1.0541,-4.7025,-0.0986
1640,-8.0158,-1.2785,-5.6647,0.1522,-1.6569,0.2041
1660,5.6862,7.6543,-2.2769,-1.0349,3.2767,1.4898
1680,17.2406,7.7692,5.9616,-0.3544,3.0398,1.9228
1700,16.8767,-0.5387,8.0421,1.028,0.4746,0.6179
