timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,9.0716,0.5028,4.0318,-0.0048,0.1466,0.0288
20,9.2943,0.2921,4.2689,-0.0989,0.1442,0.0874
40,9.3805,0.4597,4.1587,-0.1498,0.0973,0.0847
60,9.335,0.4334,4.1084,-0.1186,0.0711,0.0581
80,9.4499,0.4214,4.1946,-0.13,0.052,0.0829
100,9.1602,0.5076,4.142,-0.1391,0.0035,0.0906
120,8.928,0.1891,3.9504,-0.0586,-0.0205,0.0266
140,8.9495,0.3041,4.0103,-0.0184,0.0096,-0.0344
160,8.9376,0.3352,3.9672,-0.049,0.0482,0.0109
180,9.0716,0.17,4.0701,-0.057,0.1061,0.0376
200,9.2943,0.0862,4.2689,-0.041,0.0754,-0.0312
220,9.2153,0.1676,4.2856,-0.0426,0.0171,-0.0165
240,9.1411,0.3543,4.1611,-0.0903,0.0117,0.0269
260,9.2033,0.1748,4.1372,-0.0538,0.004,0.0586
280,9.1435,0.0455,4.1946,-0.0597,-0.0115,0.0376
300,9.0716,0.1532,4.1156,-0.0901,-0.0069,0.0349
320,9.0884,0.3926,4.1396,-0.0989,0.0264,0.0538
340,9.3063,0.3783,4.3886,-0.1082,0.0349,0.1063
360,9.5984,0.2538,4.4125,-0.0632,0.0285,0.073
380,10.7595,0.2921,5.4253,-0.0357,0.0109,0.0807
400,11.5712,-0.4286,5.6551,-0.1164,-0.2811,0.0791
420,10.4339,-0.7063,4.1803,-0.1415,-0.6411,-0.0629
440,7.9607,-1.5921,3.1699,-0.1391,-0.7557,-0.2028
460,0.2873,-3.5123,-2.3655,-0.4831,-1.1261,-0.7477
480,-11.1163,-0.0311,-6.9552,-0.8577,0.5939,-0.8156
500,5.2026,5.3941,9.3063,-2.2239,6.2597,1.5564
520,35.7239,-0.996,28.3043,-2.4706,1.7299,2.9513
540,16.5415,-4.2042,8.995,-0.4114,-1.6542,-1.9902
560,11.9447,-0.5698,3.5362,0.4338,-3.3641,-1.5511
580,1.585,0.0215,-1.8962,0.0344,-2.4016,-0.5388
600,1.2857,1.4605,-3.9648,0.5039,0.0077,0.6243
620,0.8691,0.5866,0.1101,1.6198,1.7528,0.3488
640,6.0789,3.4596,6.5098,1.3837,1.9835,-0.3794
660,12.8736,2.4421,10.3573,-0.0354,1.975,0.7408
680,16.7929,-3.8355,11.0468,-0.5033,0.6206,0.7743
700,9.4379,-5.2816,4.4293,0.0173,-1.7752,-0.7618
720,3.45,2.6456,-0.4405,0.2369,-0.9478,-0.8388
740,9.0621,4.5466,4.6974,0.1636,0.8863,0.5662
760,12.0907,-0.6297,7.4029,0.0565,0.3704,0.6678
780,10.8146,-2.1404,5.7174,0.1633,-0.4959,-0.0051
800,10.0628,0.4214,5.0135,0.0797,-0.6022,-0.2108
820,8.9256,0.5315,4.9249,-0.0176,-0.672,-0.0466
840,6.3853,-0.6656,2.7126,-0.0624,-0.7866,-0.3645
860,6.8929,0.8523,1.8842,0.0037,-0.1831,-0.4863
880,8.1858,1.3312,3.7182,-0.0392,0.2358,-0.2017
900,9.2033,1.1013,4.7669,0.0045,0.307,-0.1535
920,10.5656,0.6991,5.8275,0.1961,0.1612,-0.2366
940,10.999,-0.2753,6.5577,0.1343,-0.377,-0.2513
960,9.9719,-0.6225,4.9201,-0.0533,-0.8378,-0.3709
980,7.7716,-1.4054,2.9425,-0.1703,-0.9244,-0.6307
1000,4.7429,-0.6967,0.17,-0.2172,-0.7775,-0.8921
1020,-3.5961,-5.7676,-3.8595,-0.441,-0.5878,-0.6832
1040,-8.4659,2.4541,-5.2984,-1.9212,2.4027,0.7701
1060,15.7251,5.3103,16.4577,-2.1373,7.3181,3.8768
1080,31.9075,-5.0254,24.294,-0.8476,1.7368,1.4954
1100,20.8846,-5.9664,11.2408,0.6456,-3.0968,-1.6406
1120,2.8778,-4.9392,3.146,0.2449,-3.5666,-1.6582
1140,-6.9336,3.5769,-6.0908,-0.8697,-1.1588,-0.3816
1160,-0.6297,6.8187,-0.6105,-0.4,3.0086,1.2556
1180,13.1059,0.1844,12.9119,-0.0184,3.6577,1.3395
1200,19.5175,-2.7222,12.6701,0.0386,0.7051,0.0805
1220,15.955,-1.5897,9.6917,0.3688,-1.7416,-0.8708
1240,9.2536,1.8268,4.9488,0.1905,-3.2138,-0.7781
1260,3.7278,2.2075,1.2761,0.0346,-2.3958,-0.0496
