timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,15.5743,2.1668,9.4332,-0.2316,-4.5706,0.4351
20,-9.8593,-3.6272,-7.683,0.0349,-5.002,-0.295
40,-19.9078,0.486,-17.8871,-0.0586,0.2068,-0.5894
60,2.3798,7.197,2.6887,-0.1708,5.24,0.5177
80,23.784,5.3726,15.2439,-0.7639,4.2629,1.3547
100,23.0035,3.8451,11.6286,-0.2318,-0.3714,0.1418
120,13.1609,4.1563,5.2026,0.247,-2.6622,-0.7671
140,1.913,4.4149,-1.9345,0.2198,-2.3862,-0.5588
160,1.5036,3.8523,-2.8443,0.0562,-0.0901,0.0679
180,7.8865,3.1244,2.8252,-0.1364,0.9529,0.4016
200,11.0397,2.7677,3.8283,-0.1708,0.5614,0.1724
220,11.0205,3.3734,3.7302,0.0213,-0.0826,-0.203
240,9.335,3.5721,2.2889,0.0746,-0.4397,-0.3555
260,7.7979,3.6895,1.3671,0.0581,-0.3107,-0.2982
280,8.3199,3.5171,2.0399,-0.0298,0.0797,-0.032
300,9.2368,3.3854,2.5355,-0.1418,0.1391,0.1839
320,9.0597,3.3327,2.1021,-0.1138,0.0053,0.1202
340,8.4348,3.7948,1.4269,-0.0205,-0.0589,0.0005
360,8.5569,3.8666,1.6017,-0.0173,0.1116,0.0392
380,9.5074,3.9145,2.4565,-0.0218,0.1945,0.0839
400,10.7356,4.3598,3.7134,-0.0061,0.1508,0.0709
420,12.7012,5.2122,6.0717,-0.1412,0.0749,0.2473
440,16.4003,4.0845,7.9248,-0.6694,-0.0981,0.7597
460,11.9566,0.723,1.7597,-0.462,-1.9332,0.1796
480,-0.5866,-0.0551,-5.6144,0.4706,-2.5061,-1.4751
500,-1.7549,3.0023,-6.5242,0.1873,0.4708,-1.1354
520,6.3446,3.3208,-0.4836,-0.5537,2.1354,0.381
540,6.7756,2.2122,1.2234,-0.7965,1.7509,0.6408
560,7.039,5.2529,4.1468,-0.283,1.3995,-0.109
580,14.0157,7.7261,7.92,-0.0304,1.3544,-0.2137
600,18.5527,7.7333,10.4196,-0.0655,0.0898,0.2238
620,15.7658,5.4899,7.4029,-0.0789,-1.6545,0.3232
640,10.161,2.0758,2.7007,-0.3339,-2.1189,0.413
660,-2.0207,-2.9712,-8.3246,-0.158,-2.3401,-0.4826
680,-10.7763,0.7566,-10.647,0.2044,0.5279,-1.1202
700,2.2865,5.5306,2.6911,-0.6281,3.7529,-0.1122
720,19.2829,6.2345,13.2758,-0.9033,3.755,0.991
740,26.6044,6.5841,15.4234,-0.2795,0.1212,0.1479
760,19.4409,5.5809,9.8258,0.2108,-3.1597,-0.3459
780,-1.719,-0.9433,-3.4141,0.0957,-4.2863,0.0512
800,-10.5728,0.5674,-10.7332,-0.1364,-0.5806,0.1982
820,3.1005,3.5099,1.2186,-0.4418,2.7323,0.9166
840,14.5927,5.1116,6.6224,-0.1561,2.4064,0.5015
860,18.2606,4.9344,8.1451,0.4711,0.4626,-0.0842
880,14.5783,4.5897,6.2082,0.2265,-0.8178,-0.215
900,12.323,3.5841,3.9289,-0.0901,-0.9971,0.1399
920,8.8801,2.4756,1.0942,-0.0983,-1.3443,0.0176
940,5.2792,2.2601,-0.6057,-0.0384,-1.0078,-0.1998
960,6.019,3.1268,-0.4214,-0.0869,0.064,-0.2912
980,9.0549,3.8666,1.4413,-0.1737,0.6302,-0.1396
1000,10.8481,3.6895,2.5307,-0.1215,0.5028,-0.0831
1020,11.1761,3.3279,3.1292,0.0376,0.065,-0.247
1040,10.1586,3.0287,2.8874,0.077,-0.3168,-0.3131
1060,9.0716,3.055,2.1404,0.0024,-0.3941,-0.2094
1080,7.932,3.122,1.2546,-0.0333,-0.3725,-0.1799
1100,7.343,3.5267,0.8595,-0.0216,-0.1631,-0.1527
1120,7.75,3.7421,0.893,-0.025,0.1095,-0.0877
1140,8.3199,3.6823,1.4078,-0.008,0.219,-0.0546
1160,8.8681,3.8666,1.8603,-0.0237,0.2427,-0.0032
1180,9.1219,3.9887,2.2146,-0.0301,0.1644,0.0397
1200,9.1554,4.0989,2.1572,-0.0045,0.0735,0.0821
1220,9.2057,4.1707,1.9776,0.0008,0.0141,0.1458
1240,8.7293,4.0965,1.5419,-0.0253,-0.0344,0.214
1260,8.1858,3.5027,1.1779,-0.0426,0.0469,0.1735
1280,8.4827,3.4189,1.3288,-0.0344,0.1743,0.0085
1300,9.3972,3.7158,1.7071,-0.0224,0.1998,-0.0525
1320,9.7731,3.8714,1.992,-0.0589,0.1303,0.0091
1340,9.7205,3.8475,1.9537,-0.0488,0.0525,0.0298
1360,9.7229,3.6727,1.9752,-0.0416,0.0005,0.0306
1380,9.6391,3.5769,2.0327,-0.0757,-0.0365,0.0232
1400,9.9838,3.7589,2.2218,-0.0698,-0.0464,-0.012
1420,10.4028,3.7733,2.3032,-0.0626,-0.1804,0.0301
1440,9.7061,3.5362,1.8172,-0.0813,-0.2758,0.0898
1460,8.9423,3.2489,1.3815,-0.0927,-0.2009,0.0967
1480,8.4108,2.885,1.1349,-0.0552,-0.0642,-0.0794
1500,8.7556,3.3495,1.2426,-0.033,0.0757,-0.1919
1520,9.1147,3.6105,1.5012,-0.0634,0.0943,-0.0831
1540,9.0214,3.3662,1.3575,-0.1242,0.0373,0.0349
1560,8.2696,3.5123,1.0008,-0.129,0.0466,0.0032
1580,8.1187,3.8499,0.6105,-0.0344,0.207,-0.0874
1600,7.7812,2.7892,0.4142,0.028,0.1764,-0.0887
1620,5.7461,2.4229,-0.4381,-0.0192,0.2878,-0.1881
1640,6.0813,3.8188,1.391,-0.2388,0.8663,-0.2273
1660,12.3445,6.8067,7.8266,-0.7634,1.4805,-0.0016
1680,24.4807,8.8202,11.6047,-1.3651,-0.0168,-0.1284
1700,11.5903,-0.7901,2.7892,-0.336,-4.0401,-0.6819
1720,-15.4929,-7.5776,-11.327,-0.2856,-3.2412,-2.4349
1740,-7.592,6.1172,-7.0174,-1.5095,2.9148,-0.5033
1760,12.9335,12.4163,6.7038,-1.4962,5.1763,2.5676
1780,20.9421,5.9113,10.489,0.8271,2.2449,0.8764
1800,23.4536,7.0581,13.2926,2.2103,-0.3813,-0.8295
1820,16.5032,2.5235,8.2361,1.0277,-2.4499,0.6864
1840,-6.2513,-3.2465,-4.4341,0.1711,-2.6228,0.6097
1860,-5.2864,1.7358,-6.8738,-0.2382,0.8135,-0.2451
1880,7.3167,7.2113,4.1827,-0.3909,2.8591,0.2318
1900,22.1272,8.8945,11.2887,-0.1255,2.371,0.0493
1920,28.5413,6.8881,13.8241,0.4972,-0.9145,0.0253
1940,12.1506,-1.4222,5.9831,0.4722,-3.9833,0.2038
1960,-11.734,-5.4899,-10.0102,0.1972,-2.8562,-1.0741
1980,-11.1043,2.4852,-9.3446,0.0925,1.9811,-1.618
