timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,9.9407,0.6752,0.4166,-0.0826,0.029,-0.0077
20,9.9048,0.6919,0.4405,-0.0815,0.0301,-0.008
40,9.912,0.644,0.4214,-0.0818,0.0288,-0.0075
60,9.8474,0.5459,0.3304,-0.0845,0.024,-0.016
80,9.9814,0.6967,0.431,-0.0853,0.0282,-0.0069
100,9.8904,0.8021,0.4621,-0.0813,0.0266,-0.0077
120,9.924,0.5962,0.3496,-0.0829,0.0248,-0.0077
140,9.9216,0.668,0.4118,-0.0866,0.0285,-0.0083
160,9.9168,0.8284,0.5339,-0.0837,0.0304,-0.0059
180,9.9527,0.6369,0.4501,-0.0807,0.0266,-0.004
200,9.9503,0.5124,0.3591,-0.0837,0.0293,-0.0061
220,9.9096,0.7614,0.4621,-0.0858,0.0309,-0.0064
240,9.9024,0.8284,0.4645,-0.0823,0.0288,-0.0043
260,9.9503,0.5698,0.3591,-0.0826,0.028,-0.0037
280,9.9455,0.6129,0.3926,-0.0858,0.0298,-0.0061
300,9.8952,0.7973,0.5195,-0.0845,0.0296,-0.0056
320,9.9216,0.68,0.4046,-0.0807,0.0277,-0.0045
340,9.9288,0.5818,0.328,-0.0842,0.0296,-0.0064
360,9.9024,0.7518,0.4693,-0.0853,0.0304,-0.0069
380,9.9455,0.7614,0.5148,-0.0823,0.0285,-0.0048
400,9.9359,0.5674,0.4286,-0.0821,0.0298,-0.0045
420,9.9264,0.6273,0.4429,-0.0855,0.0312,-0.0056
440,9.9072,0.8188,0.4549,-0.0845,0.0296,-0.0051
460,9.924,0.7183,0.3735,-0.0821,0.0277,-0.0048
480,9.9383,0.5818,0.3543,-0.0839,0.029,-0.0048
500,9.9288,0.7111,0.4764,-0.0855,0.029,-0.0059
520,9.9048,0.7302,0.5052,-0.0826,0.0282,-0.0051
540,9.9216,0.6273,0.3759,-0.0831,0.0274,-0.0048
560,9.9288,0.6704,0.3735,-0.0853,0.029,-0.0056
580,9.9168,0.7877,0.4525,-0.0847,0.0296,-0.0045
600,9.9192,0.6704,0.4405,-0.0818,0.0282,-0.0051
620,9.9216,0.5435,0.407,-0.0834,0.0293,-0.0059
640,9.924,0.7111,0.4908,-0.0855,0.0306,-0.0064
660,9.9144,0.7805,0.4836,-0.0834,0.028,-0.0048
680,9.9264,0.6536,0.3807,-0.0829,0.028,-0.004
700,9.9335,0.6273,0.3567,-0.0853,0.0288,-0.0053
720,9.9264,0.7422,0.4381,-0.085,0.0288,-0.0059
740,9.9311,0.6752,0.4501,-0.0821,0.0288,-0.0051
760,9.9407,0.5866,0.3639,-0.0837,0.0282,-0.0056
780,9.9192,0.735,0.4118,-0.0853,0.0293,-0.0061
800,9.9072,0.7757,0.4357,-0.0831,0.0285,-0.0053
820,9.8569,0.6081,0.2897,-0.0823,0.0453,-0.0037
840,9.9264,0.6009,0.3735,-0.0853,0.0389,-0.0043
