timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,22.721,-2.624,15.5336,-0.8223,2.8861,1.8205
20,22.2397,-4.7788,9.9647,0.2987,-1.2076,-0.1716
40,12.8545,-3.3303,7.3789,0.458,-3.2519,-1.0269
60,2.4636,2.9999,0.1221,0.5204,-2.3065,-1.5204
80,-0.1891,0.498,-1.142,0.186,-0.0386,-0.8625
100,3.0382,0.2873,-0.8092,-0.8934,1.8887,0.3973
120,9.4523,1.4605,4.2018,-1.1671,3.1749,1.2145
140,14.2455,3.2537,6.79,-0.1809,1.8485,0.4418
160,15.2008,-1.3647,6.9743,0.785,0.3632,-0.3677
180,14.7459,-2.5187,8.8538,0.5828,-1.0064,-0.8633
200,12.3014,-1.5754,7.6112,-0.1455,-2.5319,-1.0629
220,6.7876,0.9481,2.9449,-0.2729,-2.7915,-1.3416
240,-0.1245,2.9233,-2.8228,0.1148,-1.4029,-1.5402
260,-0.486,4.5633,-4.1587,0.2094,1.4314,-0.1324
280,5.4612,0.7566,4.628,-0.1127,3.0582,1.3981
300,12.6629,0.8882,7.6926,-0.3683,2.198,1.2726
320,14.5927,0.5555,7.1898,0.2017,0.7349,0.4826
340,14.54,0.4908,7.4292,0.5132,-0.5513,-0.1172
360,12.1817,0.0359,6.1172,0.3776,-1.5532,-0.1641
380,7.5753,-0.5674,3.3686,0.052,-1.5551,-0.1074
400,8.6263,1.7526,3.1436,-0.1423,-0.9206,0.0424
420,13.3333,7.58,3.0406,0.0402,-1.1026,0.563
440,13.8983,4.2258,5.3678,0.9156,-2.2359,1.3603
460,12.6605,-2.4373,6.4763,0.6254,-3.2519,0.5718
480,6.5864,-9.7659,1.8387,0.2609,-3.877,-1.5673
500,2.6959,-7.2065,-3.0646,-0.0163,-2.7232,-2.9881
520,4.0893,-0.8906,-2.2218,-1.2478,-0.72,-2.0835
540,4.9105,3.5338,0.0407,-1.885,0.5375,-0.4543
560,6.6655,7.1802,0.7374,-1.7912,1.4522,0.4239
580,8.4611,7.865,0.5339,-0.5396,1.1322,0.6206
600,7.7428,3.4955,0.5171,0.1897,0.9611,0.6206
620,8.0972,1.1013,0.9936,0.409,0.8921,0.4786
