timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,9.3948,1.4198,-3.2681,-0.0751,-0.0189,-0.0056
20,9.3733,1.3144,-3.3303,-0.0751,-0.0139,-0.0213
40,9.3829,1.3815,-3.304,-0.0869,-0.0104,-0.0115
60,9.3565,1.4078,-3.2968,-0.0831,-0.0226,-0.0144
80,9.2536,1.4222,-3.3184,-0.0794,-0.0325,-0.0157
100,9.1889,1.3408,-3.4237,-0.0592,-0.0203,-0.0234
120,9.3087,1.403,-3.3591,-0.0765,0.016,0.0021
140,9.3637,1.3431,-3.3758,-0.0746,0.0107,-0.0141
160,9.3637,1.4174,-3.3662,-0.0863,0.0125,0.0024
180,9.347,1.3695,-3.3399,-0.0759,0.0035,-0.0136
200,9.256,1.3527,-3.3974,-0.0834,0.012,-0.0096
220,9.2871,1.4485,-3.4285,-0.0842,0.0306,0.0035
240,9.3565,1.3719,-3.3447,-0.0789,0.0176,-0.0144
260,9.2919,1.4006,-3.3662,-0.0786,0.0131,-0.0059
280,9.1913,1.3575,-3.4069,-0.0826,0.0288,-0.0003
300,9.3637,1.3767,-3.3639,-0.0885,0.0517,0.0067
320,9.3541,1.4269,-3.3782,-0.0821,0.0272,0.0003
340,9.2081,1.4293,-3.4644,-0.0837,0.0341,0.0029
360,9.2991,1.3575,-3.3782,-0.0805,0.0592,0.0056
380,9.3302,1.3719,-3.3758,-0.085,0.0552,0.0027
400,9.2751,1.3934,-3.4069,-0.0863,0.0679,0.0181
420,9.2895,1.3815,-3.3447,-0.0805,0.0807,0.0144
440,9.2392,1.3838,-3.395,-0.0842,0.0949,0.0157
460,9.1961,1.3743,-3.3495,-0.0834,0.1324,0.0298
480,9.3087,1.3527,-3.3064,-0.0807,0.1551,0.0389
500,9.2392,1.3695,-3.3232,-0.0826,0.1492,0.0344
520,9.2201,1.3168,-3.2872,-0.0821,0.1929,0.0458
540,9.4092,1.2905,-3.1747,-0.0847,0.2014,0.0394
560,9.6031,1.3479,-3.0981,-0.0834,0.1777,0.04
580,9.5648,1.2857,-3.0598,-0.0805,0.125,0.0155
600,9.4691,1.2546,-3.1532,-0.0829,0.1146,0.0234
