timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,7.3574,4.6017,0.2897,-0.3024,0.129,-0.4351
20,6.5745,4.6591,0.3974,-0.4708,0.1498,-0.4687
40,6.3111,4.8171,-0.3998,-0.733,0.4143,-0.8231
60,7.7309,5.7197,0.1389,-0.7735,0.5167,-1.1095
80,8.0565,5.8442,0.7973,-0.6984,0.4122,-1.0405
100,8.4659,5.9999,1.403,-0.7104,0.2446,-0.9619
120,8.3031,5.9089,1.3024,-0.6755,0.0338,-0.8692
140,7.9009,6.8115,1.3024,-0.7501,-0.0264,-0.6635
160,6.8402,6.5793,1.0846,-0.8916,0.1138,-0.392
180,8.4874,5.9831,1.64,-0.9923,-0.0043,-0.324
200,7.1443,5.8682,1.9632,-0.9622,-0.3533,-0.3616
220,6.675,5.3127,1.8699,-1.2676,-0.2912,-0.3845
240,7.501,6.8785,1.008,-1.1095,-0.2707,-0.3421
260,7.0485,5.8873,2.0063,-0.7855,-0.1143,0.1322
280,6.4476,5.4181,2.4205,-0.6891,-0.1572,0.3158
300,6.8714,6.3351,2.2386,-0.162,-0.8127,0.1724
320,7.0605,5.8514,3.237,1.0019,-2.1474,0.4618
340,7.3334,6.5553,2.0327,2.3926,-3.4448,0.4519
360,2.648,0.5052,-5.5617,2.3278,-2.5186,-1.6779
380,8.3749,9.1842,-0.3017,-0.0789,0.7312,-2.3291
400,9.0166,9.4667,0.0838,-0.15,1.9657,1.028
420,8.9495,5.8299,2.4612,-0.3293,1.6012,2.0286
440,7.4867,4.6352,1.9393,-0.5089,0.1319,1.2835
460,6.2608,5.4564,0.4453,-0.146,-0.8356,0.2577
480,6.8354,6.043,0.1987,0.0434,-0.9577,-0.2481
500,8.4659,7.1515,0.0622,-0.2782,1.3344,0.7837
520,7.2784,4.5873,1.4964,-0.462,0.7386,0.6987
540,8.1475,6.2656,0.6249,-0.3477,1.1215,-0.028
560,8.5377,5.8658,1.4102,-0.3778,0.8399,-0.1268
580,8.2169,6.1579,0.9864,-0.6462,0.7631,0.1287
600,7.4627,5.7557,1.4653,-0.7186,0.6819,0.0813
620,7.5824,5.5857,1.6041,-0.704,0.6638,0.0101
640,6.8307,5.4324,1.7262,-0.5652,0.74,-0.1332
660,8.6263,6.1028,2.5211,-0.6336,0.9078,0.0421
680,9.7947,5.715,3.5075,-0.5979,0.3872,0.534
700,8.1954,5.454,2.818,-0.5577,-0.0458,0.3794
720,9.6702,5.5091,3.553,-0.5049,-0.0693,0.1993
740,6.5553,5.7317,1.7238,-0.4309,-0.3667,0.582
760,6.9791,4.7142,2.5881,-0.4831,0.1639,0.413
780,9.9455,5.7461,3.6943,-0.486,-0.0085,0.6387
800,10.6973,5.4324,3.7709,-0.5169,-0.7008,1.4847
820,6.2991,3.5267,1.8196,-0.6006,-0.7576,1.3659
840,7.5609,4.8914,2.0111,-0.5079,-0.1623,0.8202
860,8.7867,4.525,2.5355,-0.3094,-0.2902,0.93
880,8.6335,3.7757,2.308,-0.199,-0.2297,0.6781
900,10.2424,4.4197,2.818,-0.0759,-0.3914,0.6011
920,7.829,3.8355,1.8124,0.1053,-0.4834,1.1189
940,7.2137,1.889,1.0391,0.0109,0.045,0.8713
960,9.5337,3.3567,2.1141,-0.0197,0.2563,0.1863
980,9.8497,3.2848,2.308,-0.0341,-0.0424,0.3427
1000,8.0493,2.411,1.6807,-0.0274,0.0618,0.1348
1020,9.6726,3.0933,2.1261,-0.1228,0.2689,0.1255
1040,10.2256,3.3279,2.3224,-0.1908,0.1132,0.4418
1060,9.7181,2.9592,2.3703,-0.198,-0.1175,0.4517
1080,8.7915,2.7701,2.6432,-0.1958,-0.0384,0.3008
1100,9.8234,2.9185,2.7126,-0.1817,0.0429,0.2843
1120,9.5217,2.9664,2.1691,-0.1274,-0.1183,0.1271
1140,9.1602,2.8252,1.9968,-0.1127,-0.1703,0.0325
1160,9.402,2.4972,2.059,-0.129,-0.2571,0.0866
1180,8.4348,2.6887,1.5658,-0.1881,-0.0794,0.1431
1200,9.1746,2.976,1.9058,-0.1535,0.1647,0.1945
1220,10.1131,2.6624,2.2673,-0.0671,0.093,0.0882
1240,9.7851,2.3583,2.2936,-0.0962,-0.0149,0.0837
1260,9.4451,2.6624,2.1189,-0.1378,0.0426,0.0946
1280,9.1842,2.4756,2.2146,-0.1005,0.069,0.089
1300,9.2392,2.4732,2.2003,-0.0512,0.137,0.0711
1320,9.098,2.4421,2.2913,-0.0807,0.1974,0.1063
1340,9.1147,2.6145,2.0949,-0.0528,0.23,0.1362
1360,9.1099,2.5738,2.0758,-0.0722,0.2523,0.1138
1380,9.5074,2.8467,2.4157,-0.0943,0.2401,0.1356
1400,9.9671,2.6839,2.6169,-0.0578,0.1956,0.199
1420,10.1466,2.0925,2.7366,-0.061,0.0959,0.2742
1440,9.8881,2.0614,2.49,-0.0858,0.0298,0.2134
1460,9.8354,2.2529,2.3798,-0.0706,-0.045,0.122
1480,9.3589,2.2458,2.1811,-0.0309,-0.0218,0.1045
1500,9.7564,2.1021,2.1668,-0.0213,0.0237,0.1831
1520,9.9311,1.8866,2.2649,-0.0354,-0.0336,0.2364
1540,10.0006,1.9345,2.3583,-0.0474,-0.1021,0.1857
1560,9.991,2.0423,2.2793,-0.0128,-0.1647,0.1442
1580,9.3613,1.664,1.8651,0.0176,-0.1887,0.0957
1600,9.7252,1.9944,1.8531,-0.0045,-0.1061,0.0767
1620,10.2424,1.8483,2.047,0.0149,-0.2113,0.1239
1640,9.6103,1.6879,2.1284,-0.0147,-0.3925,0.0469
1660,8.8992,2.3798,1.5227,-0.0831,-0.2094,0.2177
1680,9.1674,1.9441,1.7382,-0.0706,-0.1228,0.3376
1700,9.0381,1.5131,1.9968,-0.0261,-0.2817,0.0807
1720,8.6503,1.9896,1.7573,-0.0608,-0.2809,-0.0389
1740,8.9328,2.3703,1.6688,-0.0927,-0.0791,0.1029
1760,8.7771,2.241,1.3791,-0.0927,0.2294,0.1535
1780,10.3022,1.968,2.1284,-0.0661,0.3845,0.0589
1800,10.6518,1.798,2.387,-0.064,0.1927,-0.0256
1820,9.8976,1.5586,1.9728,-0.0482,0.0085,-0.0863
1840,9.2512,1.7119,1.5347,-0.0592,0.0141,-0.1559
1860,9.0764,1.8842,1.4988,-0.0661,0.1268,-0.0997
1880,9.4667,2.0758,1.7789,-0.0237,0.218,-0.1132
1900,9.9671,1.4892,2.1308,-0.0224,0.1591,0.0642
1920,9.244,1.5012,1.8124,-0.0754,0.0203,0.0773
1940,8.9471,1.9561,1.4629,-0.0565,0.0983,0.1223
1960,9.5098,1.7454,1.6281,-0.0304,0.203,0.1591
1980,10.2017,1.3479,1.9632,-0.0314,0.1969,0.1423
