timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,6.7516,2.2458,6.754,-0.0797,-0.0048,-0.0261
20,6.8235,2.2218,6.7397,-0.0949,0.0192,-0.0253
40,6.9959,2.32,6.8019,-0.0917,0.0072,-0.0248
60,6.8953,2.2075,6.766,-0.0906,-0.0216,-0.0232
80,6.8283,2.2362,6.7253,-0.1026,0.0109,0.004
100,6.9312,2.2098,6.8331,-0.0986,0.0155,-0.0061
120,6.8738,2.2817,6.7062,-0.1045,-0.0011,-0.0314
140,6.9528,2.296,6.7133,-0.0957,0.0195,-0.0131
160,7.0366,2.2577,6.79,-0.0978,-0.0019,-0.0117
180,7.3215,2.1644,6.8498,-0.1026,-0.048,-0.0293
200,7.513,2.1524,7.1036,-0.1308,-0.1391,-0.064
220,7.276,2.3918,6.845,-0.122,-0.2193,-0.0821
240,6.9983,2.32,6.5601,-0.1053,-0.2097,-0.0978
260,7.0797,2.3152,6.5218,-0.1183,-0.1847,-0.1066
280,7.1467,2.3008,6.5434,-0.1164,-0.1932,-0.1364
300,7.3047,2.4229,6.5434,-0.1029,-0.1969,-0.1553
320,7.4292,2.3248,6.5601,-0.1026,-0.2164,-0.13
340,7.5202,2.2697,6.6439,-0.1199,-0.2521,-0.1202
360,7.7883,2.2649,6.8235,-0.1268,-0.3914,-0.2017
380,7.7428,2.2194,6.6894,-0.1394,-0.5844,-0.3214
400,7.9057,2.375,6.371,-0.1588,-0.6992,-0.36
420,8.157,2.2386,6.5936,-0.2132,-0.8756,-0.4064
440,7.5968,2.332,6.1172,-0.2486,-0.9979,-0.462
460,7.5465,2.6097,5.5474,-0.2862,-0.8823,-0.3688
480,7.8243,2.873,5.7102,-0.2846,-0.8018,-0.3299
500,7.8745,2.7366,5.5833,-0.2276,-0.8924,-0.4527
520,7.592,2.6647,5.1092,-0.238,-0.8447,-0.4501
540,7.4005,3.0358,4.7262,-0.2542,-0.6334,-0.3256
560,7.5968,3.2058,4.7094,-0.1804,-0.4533,-0.2425
580,7.6303,2.8635,4.7645,-0.1482,-0.3576,-0.2414
600,7.908,2.9401,4.7908,-0.1695,-0.3027,-0.2164
620,8.0876,3.0933,4.968,-0.1631,-0.3112,-0.2332
640,8.1427,3.2825,4.7812,-0.1298,-0.2555,-0.1951
660,8.2672,3.2968,4.7477,-0.0829,-0.1801,-0.1071
680,8.1738,2.9712,4.7453,-0.0666,-0.1823,-0.0834
700,8.011,2.9137,4.5729,-0.0818,-0.1689,-0.0642
720,7.8123,2.7725,4.47,-0.0997,-0.0946,-0.0522
740,8.0397,2.9473,4.5442,-0.1183,-0.0226,-0.056
760,8.2313,3.0981,4.6328,-0.0946,-0.0067,-0.0314
780,8.2337,2.8778,4.7214,-0.085,-0.0152,0.0234
800,8.0254,2.8419,4.6783,-0.1037,-0.0234,0.0027
820,8.1954,3.0837,4.5107,-0.1111,-0.0213,-0.0533
840,8.2073,3.2058,4.3072,-0.081,-0.0898,-0.1079
860,7.9871,3.3543,4.3239,0.028,-0.0906,-0.1098
880,7.9296,2.9161,4.8435,0.0402,-0.0032,-0.0717
900,8.26,2.8371,4.8267,-0.0168,0.0269,-0.0789
920,8.4659,3.1149,4.6639,-0.0735,-0.0192,-0.0677
940,8.3031,3.0981,4.6519,-0.057,-0.0935,0.0144
960,7.8793,3.0861,4.367,-0.0941,-0.0298,0.0448
980,7.8673,3.1939,4.3766,-0.0962,0.0738,0.0488
1000,8.0709,3.3184,4.3383,-0.0831,0.1817,0.126
1020,8.3821,3.0742,4.7022,-0.0725,0.2166,0.1604
1040,8.3725,2.9233,4.7094,-0.0986,0.2153,0.1689
1060,8.3438,2.9113,4.719,-0.113,0.1956,0.1364
1080,8.2313,2.9808,4.6136,-0.1311,0.2001,0.1116
1100,8.1211,2.964,4.6088,-0.1439,0.2388,0.0978
1120,8.2265,3.0502,4.7645,-0.138,0.2689,0.1108
1140,8.4084,3.0885,4.8435,-0.1223,0.2353,0.1119
1160,8.3797,2.8323,4.9512,-0.0887,0.1865,0.1108
1180,8.2744,2.7078,5.0063,-0.0858,0.1548,0.1055
1200,8.157,2.8108,4.8818,-0.0949,0.146,0.0973
1220,8.1427,2.8419,4.7932,-0.0759,0.142,0.0933
1240,8.0852,2.8323,4.774,-0.0826,0.1572,0.1103
1260,8.327,2.8491,4.9608,-0.0709,0.1529,0.1343
1280,8.3629,2.7054,5.0326,-0.0695,0.1132,0.1226
1300,8.2935,2.7438,4.9967,-0.0663,0.0877,0.1116
1320,8.1427,2.7198,4.8866,-0.061,0.0935,0.122
1340,8.1906,2.6983,5.0087,-0.0695,0.114,0.117
1360,8.2887,2.7414,5.0063,-0.0709,0.0959,0.0842
1380,8.2241,2.7126,4.9847,-0.0671,0.0893,0.073
1400,8.1714,2.7102,4.9799,-0.0663,0.1151,0.0847
1420,8.0996,2.6863,4.9967,-0.0818,0.1532,0.097
1440,8.1427,2.6959,5.0542,-0.0706,0.2084,0.1061
1460,8.2552,2.6121,5.1427,-0.0655,0.2116,0.1061
1480,8.2839,2.5163,5.1451,-0.0666,0.1892,0.0829
1500,8.1714,2.5666,5.0589,-0.0695,0.1719,0.0738
1520,8.1092,2.6001,5.1811,-0.0586,0.1655,0.0602
1540,8.1211,2.6049,5.2002,-0.0418,0.1777,0.0735
1560,8.2863,2.5067,5.3247,-0.0274,0.1495,0.0746
1580,8.157,2.375,5.2792,-0.024,0.1162,0.0775
1600,8.0756,2.4134,5.1404,-0.0464,0.133,0.0893
1620,8.1331,2.5043,5.1499,-0.0517,0.1444,0.0887
1640,8.1977,2.6336,5.1787,-0.0496,0.133,0.0818
1660,8.2863,2.6001,5.2888,-0.0346,0.1026,0.0887
1680,8.1882,2.3822,5.4061,-0.0445,0.0741,0.0866
1700,8.0206,2.3224,5.4468,-0.0706,0.0533,0.0184
1720,7.8817,2.4972,5.3846,-0.0927,0.0714,-0.0136
1740,7.8937,2.727,5.3343,-0.0925,0.0911,-0.0019
1760,7.6686,2.5474,5.2074,-0.0504,0.13,0.0019
1780,7.6854,2.4995,5.2792,-0.0274,0.2041,-0.0045
1800,7.7788,2.5594,5.3415,0.0069,0.2638,0.0584
1820,7.5082,2.3487,5.2601,0.0184,0.3485,0.1029
1840,7.4053,1.9609,5.2361,0.0346,0.4269,0.069
1860,7.1754,1.5706,5.1164,-0.0176,0.5137,0.0368
1880,7.3119,2.2601,5.2457,-0.1402,0.6392,0.0408
1900,7.8626,3.2082,5.296,-0.1306,0.8138,0.2393
1920,8.0278,2.5139,6.1818,-0.048,0.8529,0.2697
1940,8.0349,1.9776,6.6607,-0.0813,0.7314,0.0376
1960,8.0948,2.4756,6.4045,-0.1948,0.6419,-0.0741
1980,8.0014,2.988,6.3853,-0.2348,0.6747,-0.0765
