timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.3208,10.6207,0.759,-0.1809,0.0826,-0.9785
20,-0.407,10.4794,1.0367,-0.0805,0.1069,-0.7919
40,-1.3647,9.6462,0.8978,-0.0277,0.0906,-0.7107
60,-1.6041,9.73,0.8978,-0.0999,0.2084,-0.708
80,-1.1037,10.7643,0.8835,-0.0858,0.288,-0.5718
100,-0.7853,10.4986,1.233,0.0232,0.2268,-0.4309
120,-0.8475,10.0987,1.3623,0.0117,0.0957,-0.3174
140,-1.2809,10.0604,1.2641,-0.0045,0.028,-0.2305
160,-1.5012,10.0987,1.1181,0.0416,0.0461,-0.2158
180,-1.2833,9.9168,1.1277,0.0695,0.0781,-0.1711
200,-1.087,9.7252,1.1325,0.0376,0.0986,-0.0576
220,-1.1253,9.2919,1.2282,-0.0237,0.0794,0.0027
240,-0.9936,9.4212,1.2186,-0.0757,0.0296,-0.0176
260,-1.1756,9.8521,1.0846,-0.0616,0.0424,-0.0067
280,-0.972,9.8043,1.1157,0.0059,0.0586,-0.0059
300,-0.9194,9.6247,1.2474,-0.0163,0.0501,0.0616
320,-1.0942,9.5074,1.1827,-0.0368,0.0714,0.1108
340,-0.7877,9.3398,1.3455,-0.0746,0.0424,0.1135
360,-1.3384,9.6558,1.0175,-0.0655,0.0394,0.1202
380,-1.2737,9.4116,1.0822,-0.028,0.1428,0.1364
400,-0.9026,9.3996,1.3001,-0.0962,0.1636,0.2158
420,-1.1851,9.5744,1.0798,-0.1348,0.1895,0.3595
440,-1.4246,9.3398,0.9601,-0.1514,0.2939,0.4762
460,-1.2474,9.0956,1.1756,-0.2201,0.388,0.4994
480,-0.6249,9.4906,1.1708,-0.2619,0.3984,0.4698
500,-0.431,9.7612,1.154,-0.2366,0.364,0.5452
520,-1.0702,9.2057,1.1301,-0.2585,0.4322,0.6627
540,-0.8691,9.3278,1.1875,-0.3277,0.5553,0.567
560,-0.0766,9.7636,1.2091,-0.311,0.6089,0.6107
580,0.1077,9.5888,1.2522,-0.3605,0.6438,0.829
600,-0.2753,9.4715,1.2546,-0.4282,0.7229,1.2422
620,-0.8619,9.0381,1.3168,-0.4295,0.8124,1.1892
640,0.0599,9.3134,1.5012,-0.3912,0.8529,0.9976
660,0.7853,9.6199,1.6664,-0.4042,0.8279,1.1095
680,0.4645,9.3158,1.7334,-0.4796,0.882,1.4671
700,0.3687,9.1099,1.7717,-0.5393,0.9851,1.4437
720,1.5275,9.4427,2.0494,-0.6262,1.0808,1.5673
740,1.901,9.098,2.5043,-0.7107,1.1226,1.7648
760,2.3894,9.8641,2.5857,-0.6126,1.1082,1.6752
780,3.1149,9.4499,2.8299,-0.3826,1.0285,1.5857
800,3.4237,8.4539,3.0406,-0.3749,1.0192,1.63
820,3.8211,7.8961,3.2968,-0.522,1.0222,1.6534
840,3.9887,7.343,3.4285,-0.704,0.9582,1.5756
860,3.9025,8.4108,3.2705,-0.7341,0.9017,1.3363
880,4.2401,9.0812,3.2226,-0.412,0.9116,1.1666
900,4.3766,7.9559,3.5434,-0.3288,0.963,1.2681
920,3.8307,7.3885,3.6727,-0.5271,1.1383,1.6281
940,3.6823,6.9767,4.0677,-0.6789,1.3672,1.647
