timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,9.0788,1.3599,1.7717,-0.2046,-0.4487,0.1375
20,9.8737,1.0463,2.1165,-0.1543,-0.2398,0.0586
40,10.7021,0.6201,2.6456,-0.1458,-0.316,0.0914
60,10.5824,0.5507,2.3511,-0.2284,-0.4375,0.1178
80,10.0006,1.0104,2.0614,-0.251,-0.4458,0.1529
100,9.6486,1.0918,2.1787,-0.2835,-0.3997,0.1679
120,9.0668,0.9122,1.5203,-0.2649,-0.2979,0.1908
140,8.4874,0.7374,1.0056,-0.2729,0.0179,0.2537
160,8.2744,0.6225,1.075,-0.2358,0.2745,0.2324
180,8.1139,0.8978,1.8555,-0.1242,0.4871,0.1194
200,8.746,0.9744,2.0853,-0.0112,0.5534,0.0733
220,9.4236,1.1372,1.9441,0.0642,0.6286,0.1943
240,10.2304,0.4357,2.5163,0.0035,0.6193,0.3539
260,10.908,0.8045,3.0478,-0.036,0.3645,0.2872
280,10.4148,0.6847,2.7198,0.0107,0.0954,0.1551
300,10.3765,0.3903,2.5522,-0.0107,0.0232,0.0663
320,10.5967,0.4884,2.5067,-0.0783,-0.0648,-0.0083
340,10.386,0.6847,2.3415,-0.125,-0.1844,-0.0242
360,10.5321,0.316,2.1715,-0.133,-0.2771,-0.0309
380,10.1011,-0.0192,1.8579,-0.1407,-0.3667,-0.1705
400,9.5217,0.4812,1.8004,-0.1343,-0.2137,-0.2001
420,10.331,0.2945,2.1907,-0.0885,-0.1804,-0.1223
440,10.8314,-0.0599,2.3822,-0.1823,-0.2771,-0.0229
460,9.9335,0.0311,2.3056,-0.2638,-0.4167,-0.0877
480,9.4715,0.9936,1.9776,-0.1545,-0.4319,-0.17
500,9.0214,0.5986,1.992,-0.0818,-0.3344,-0.0341
520,9.5337,0.0814,2.3415,-0.1274,-0.2294,0.154
540,10.0533,0.0359,2.2721,-0.207,-0.4298,0.2116
560,9.2344,0.759,1.4222,-0.3043,-0.5585,0.2713
580,8.2097,1.3527,0.5339,-0.2281,-0.3661,0.2308
600,8.9663,1.3695,0.4621,-0.0037,-0.1335,0.1092
620,9.8138,0.4453,0.929,0.0613,-0.1386,-0.0312
640,10.3741,0.0383,1.5706,-0.0565,-0.2132,0.0546
660,10.4244,0.5387,1.2809,-0.146,-0.3981,0.1916
680,9.9742,0.2969,1.0726,-0.1799,-0.538,0.1911
700,9.5912,0.4932,0.7494,-0.1775,-0.5849,0.1463
720,9.3853,0.6129,-0.498,-0.1519,-0.3269,0.0906
740,11.3318,-0.0096,0.3735,-0.0767,0.231,-0.0117
760,12.955,-0.6847,2.3056,-0.1695,-0.0773,-0.251
780,10.7093,0.2322,1.5969,-0.23,-0.6259,-0.4895
800,8.8131,0.7973,0.2442,-0.1402,-0.6789,-0.6057
820,7.9703,0.9744,-0.7207,-0.0807,-0.323,-0.6049
840,9.2177,1.063,0.2203,-0.0125,0.0099,-0.5033
860,9.7372,0.2538,0.644,-0.0043,-0.0648,-0.4154
880,8.8346,0.6369,0.0862,-0.122,-0.1092,-0.2201
900,8.5329,1.1229,-0.2634,-0.1519,0.0837,-0.0754
920,9.2009,1.4748,0.182,-0.1276,0.2912,0.0823
940,9.5385,0.8595,0.4956,-0.0687,0.3142,0.1684
960,9.9048,0.5363,0.7207,-0.1119,0.3126,0.1615
980,10.2975,1.0247,0.8188,-0.1434,0.3368,0.1327
1000,11.1115,1.0487,1.3024,-0.0663,0.2017,0.121
1020,11.0445,0.5866,1.1349,-0.0658,-0.0485,0.0496
1040,10.9439,0.3663,0.8236,-0.1311,-0.215,0.029
1060,10.7236,0.6512,0.5555,-0.1825,-0.3741,-0.0216
1080,10.1897,0.6823,0.2322,-0.1785,-0.5233,-0.0024
1100,10.0772,0.4166,0.3974,-0.2284,-0.6302,0.0616
1120,10.2448,0.7949,0.4597,-0.3938,-0.7197,0.3016
1140,9.6965,1.2354,-0.0215,-0.328,-0.7186,0.526
1160,9.007,0.4621,-0.8811,-0.1865,-0.5918,0.389
1180,9.268,0.1053,-0.9385,-0.1162,-0.3003,0.1745
1200,10.0772,0.2466,-0.6057,-0.0903,-0.1436,0.0104
1220,10.4579,0.5052,-0.3783,-0.0562,-0.1527,-0.0504
1240,10.4411,0.2993,-0.3519,-0.0437,-0.2268,-0.0317
1260,10.0269,0.3615,-0.6249,-0.0671,-0.3064,-0.0336
1280,9.6582,0.5267,-0.8356,-0.0722,-0.2577,-0.0168
1300,9.6103,0.5866,-0.9409,-0.0405,-0.1588,-0.0573
1320,9.7971,0.4908,-0.8906,-0.0075,-0.0877,-0.0655
1340,10.1634,0.2993,-0.6943,-0.0232,-0.0703,-0.0589
1360,10.9415,0.0622,-0.4286,-0.097,-0.1591,0.0751
1380,11.4586,0.2107,-0.5962,-0.2164,-0.4586,0.1836
1400,10.8888,0.8188,-0.6057,-0.2793,-0.7424,0.307
1420,9.809,0.1748,-1.154,-0.2979,-0.8052,0.2169
1440,9.5241,0.3448,-1.6999,-0.2348,-0.5436,0.1511
1460,10.2161,-0.4717,-1.3288,-0.1564,-0.3821,-0.0173
1480,10.398,-0.0311,-1.4198,-0.146,-0.5249,-0.3288
1500,10.252,0.4334,-1.6281,-0.1689,-0.6488,-0.3264
1520,9.9144,0.6297,-1.8747,-0.2084,-0.7099,-0.2265
1540,9.5936,0.5267,-2.0494,-0.206,-0.6749,-0.1391
1560,9.6438,0.3448,-2.2386,-0.1892,-0.6278,-0.1945
1580,9.7683,0.431,-2.3966,-0.2033,-0.6137,-0.275
1600,9.7612,0.8835,-2.6073,-0.2086,-0.667,-0.3472
1620,9.5098,0.9553,-2.8012,-0.2097,-0.6933,-0.3528
1640,9.3039,1.0175,-3.1651,-0.2254,-0.6009,-0.3043
1660,9.6295,1.1037,-3.1939,-0.186,-0.5092,-0.2971
1680,9.8306,0.6345,-2.9066,-0.1471,-0.5716,-0.388
1700,9.8354,0.3998,-2.8491,-0.1703,-0.6813,-0.489
1720,9.3829,0.2801,-3.1292,-0.198,-0.7639,-0.5031
1740,9.098,0.7254,-3.7134,-0.2923,-0.7408,-0.4346
1760,8.995,1.5562,-3.7996,-0.3328,-0.7738,-0.4866
1780,8.7556,1.9896,-4.051,-0.2443,-0.8287,-0.5766
1800,8.6455,1.8004,-4.1108,-0.1828,-0.8306,-0.6019
1820,8.6862,1.6376,-4.2186,-0.1775,-0.8226,-0.6145
1840,8.7843,1.798,-4.3407,-0.1796,-0.8327,-0.6235
1860,8.758,1.9297,-4.47,-0.2012,-0.8863,-0.6646
1880,8.6191,2.1476,-4.7094,-0.1993,-0.9238,-0.7917
1900,8.5018,2.5881,-5.2553,-0.1825,-0.911,-0.8905
1920,8.7867,2.5115,-5.1667,-0.1553,-0.9489,-0.9598
1940,8.4108,2.3631,-5.114,-0.2017,-1.1098,-1.1191
1960,7.6016,2.9999,-5.9544,-0.1897,-1.1421,-1.2572
1980,7.3167,3.2729,-6.213,-0.1679,-0.9888,-1.2015
