timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,-0.9792,6.1746,-7.8219,-0.0035,-0.3277,-0.405
20,-1.3671,5.9041,-7.7213,0.0027,-0.3829,-0.4189
40,-1.6568,5.6383,-7.6016,-0.0234,-0.408,-0.4711
60,-1.8483,5.6767,-7.6806,-0.052,-0.4253,-0.5497
80,-1.6735,6.1483,-7.7668,-0.0416,-0.4477,-0.5593
100,-1.9872,6.2872,-7.8793,-0.0333,-0.449,-0.3635
120,-2.5379,6.0908,-7.908,0.0115,-0.3989,-0.3309
140,-2.6647,5.7581,-7.6207,0.0256,-0.3339,-0.4133
160,-2.4876,5.4588,-7.5729,-0.0021,-0.3341,-0.5116
180,-2.3032,5.521,-7.4196,-0.0482,-0.4226,-0.611
200,-2.5881,5.4013,-7.1922,-0.1132,-0.5513,-0.5668
220,-3.4309,5.3439,-7.5465,-0.2046,-0.5883,-0.5748
240,-4.5274,5.6599,-8.0565,-0.2542,-0.3523,-0.4604
260,-3.8283,5.7533,-7.944,-0.2574,-0.1585,-0.4522
280,-3.4812,5.715,-7.3598,-0.2638,-0.1841,-0.3914
300,-3.8475,5.6958,-7.3478,-0.2289,-0.2473,-0.3512
320,-4.0438,5.5952,-7.3263,-0.2196,-0.2571,-0.316
340,-4.64,5.3223,-7.4029,-0.2169,-0.1543,-0.2638
360,-4.1348,5.6671,-7.3047,-0.3379,-0.0144,-0.2862
380,-3.8116,6.3135,-7.3382,-0.2747,-0.0083,-0.1498
400,-4.4604,6.5003,-7.6734,-0.1564,0.0256,-0.1159
420,-4.7764,5.9975,-7.6974,-0.0906,0.2478,-0.0096
440,-4.0725,5.7604,-7.2401,-0.0847,0.4016,0.004
460,-3.383,5.7365,-7.0054,-0.1021,0.3493,0.0117
480,-0.7805,5.8155,-5.9472,-0.0304,-0.1116,-0.3006
500,-4.1228,5.6671,-7.3191,-0.0336,-0.3195,0.0687
520,-4.3527,6.031,-7.8027,-0.0613,-0.1617,0.0056
