timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
102724,9.9120,0.6847,0.4070,-0.0837,0.0288,-0.0045,seizure
102748,9.9240,0.6895,0.4190,-0.0831,0.0293,-0.0053,seizure
102772,9.9335,0.6823,0.3903,-0.0829,0.0280,-0.0053,seizure
102796,9.9431,0.6656,0.4046,-0.0834,0.0288,-0.0048,seizure
102820,9.9383,0.6656,0.4262,-0.0837,0.0293,-0.0053,seizure
102844,9.9288,0.6776,0.4357,-0.0829,0.0293,-0.0051,seizure
102868,9.9216,0.6871,0.4214,-0.0831,0.0282,-0.0051,seizure
102892,9.9264,0.6680,0.3998,-0.0834,0.0293,-0.0059,seizure
102916,9.9431,0.6752,0.4118,-0.0837,0.0288,-0.0048,seizure
102940,9.9168,0.6728,0.4190,-0.0834,0.0282,-0.0053,seizure
102964,9.9216,0.6728,0.4094,-0.0834,0.0288,-0.0051,seizure
102988,9.9192,0.6704,0.4070,-0.0834,0.0288,-0.0053,seizure
103012,9.9216,0.6752,0.4334,-0.0839,0.0288,-0.0053,seizure
103036,9.9072,0.6895,0.4166,-0.0834,0.0298,-0.0059,seizure
103060,9.9264,0.6560,0.4070,-0.0839,0.0296,-0.0051,seizure
103084,9.9264,0.6800,0.4118,-0.0831,0.0296,-0.0056,seizure
103108,9.9192,0.6608,0.4262,-0.0831,0.0280,-0.0048,seizure
103132,9.9216,0.6752,0.4142,-0.0842,0.0293,-0.0051,seizure
103156,9.9192,0.6728,0.4549,-0.0837,0.0296,-0.0051,seizure
103180,9.9335,0.6560,0.4381,-0.0829,0.0282,-0.0051,seizure
103204,9.9216,0.6752,0.4190,-0.0837,0.0298,-0.0051,seizure
103228,9.9168,0.6560,0.4286,-0.0837,0.0288,-0.0045,seizure
103252,9.9288,0.6800,0.4238,-0.0834,0.0277,-0.0051,seizure
103276,9.9335,0.6919,0.4429,-0.0831,0.0288,-0.0061,seizure
103300,9.9288,0.6680,0.3998,-0.0831,0.0288,-0.0056,seizure
103324,9.9096,0.6776,0.4262,-0.0831,0.0282,-0.0053,seizure
103348,9.9240,0.6728,0.4262,-0.0834,0.0296,-0.0048,seizure
103372,9.9335,0.6871,0.4357,-0.0829,0.0290,-0.0048,seizure
103396,9.9455,0.6800,0.4166,-0.0837,0.0285,-0.0059,seizure
103420,9.9311,0.6704,0.4429,-0.0831,0.0282,-0.0048,seizure
103444,9.9264,0.6536,0.4142,-0.0829,0.0290,-0.0059,seizure
103468,9.9168,0.6776,0.4046,-0.0826,0.0293,-0.0048,seizure
103492,9.9407,0.6632,0.4094,-0.0834,0.0282,-0.0051,seizure
103516,9.9240,0.6800,0.4166,-0.0845,0.0285,-0.0045,seizure
103540,9.9264,0.6632,0.3926,-0.0842,0.0282,-0.0056,seizure
103564,9.8952,0.6632,0.4166,-0.0839,0.0290,-0.0059,seizure
103588,9.9311,0.6704,0.4286,-0.0837,0.0290,-0.0043,seizure
103612,9.9240,0.6680,0.4142,-0.0829,0.0293,-0.0048,seizure
103636,9.9240,0.6656,0.4022,-0.0834,0.0290,-0.0059,seizure
103660,9.9216,0.6704,0.4142,-0.0837,0.0277,-0.0064,seizure
103684,9.9264,0.6776,0.4142,-0.0834,0.0290,-0.0051,seizure
103708,9.9383,0.6608,0.4310,-0.0826,0.0288,-0.0051,seizure
103732,9.9192,0.6656,0.4166,-0.0831,0.0290,-0.0059,seizure
103756,9.9288,0.6847,0.3998,-0.0831,0.0290,-0.0056,seizure
103780,9.9288,0.6847,0.4453,-0.0839,0.0288,-0.0056,seizure
103804,9.9383,0.6536,0.4070,-0.0834,0.0301,-0.0061,seizure
103828,9.9120,0.6560,0.4166,-0.0834,0.0290,-0.0059,seizure
103852,9.9240,0.6847,0.4190,-0.0839,0.0288,-0.0053,seizure
103876,9.9383,0.6728,0.4046,-0.0834,0.0293,-0.0064,seizure
103900,9.9288,0.6776,0.4046,-0.0826,0.0296,-0.0056,seizure
103924,9.9359,0.6752,0.4405,-0.0834,0.0304,-0.0053,seizure
103948,9.9264,0.6608,0.4214,-0.0829,0.0288,-0.0059,seizure
103972,9.9264,0.6680,0.3998,-0.0834,0.0290,-0.0053,seizure
103996,9.9335,0.6728,0.4046,-0.0837,0.0293,-0.0053,seizure
104020,9.9264,0.6800,0.4094,-0.0831,0.0288,-0.0056,seizure
104044,9.9264,0.6728,0.3974,-0.0831,0.0293,-0.0059,seizure
104068,9.9120,0.6823,0.4190,-0.0839,0.0290,-0.0067,seizure
104092,9.9096,0.6656,0.4262,-0.0831,0.0288,-0.0053,seizure
104116,9.9359,0.6608,0.4238,-0.0839,0.0293,-0.0069,seizure
104140,9.9240,0.7063,0.4669,-0.0829,0.0301,-0.0067,seizure
104164,9.9240,0.6823,0.4262,-0.0834,0.0293,-0.0053,seizure
104188,9.9216,0.6728,0.4214,-0.0837,0.0290,-0.0064,seizure
104212,9.9503,0.7135,0.4429,-0.0839,0.0280,-0.0051,seizure
104236,9.9455,0.6608,0.4262,-0.0831,0.0285,-0.0067,seizure
104260,9.9216,0.6560,0.4022,-0.0834,0.0293,-0.0061,seizure
104284,9.9359,0.6967,0.4310,-0.0845,0.0285,-0.0059,seizure
104308,9.9120,0.7230,0.4477,-0.0823,0.0282,-0.0064,seizure
104332,9.9335,0.6728,0.4262,-0.0823,0.0280,-0.0061,seizure
104356,9.9311,0.6488,0.3711,-0.0842,0.0285,-0.0069,seizure
104380,9.9407,0.6752,0.4166,-0.0826,0.0290,-0.0077,seizure
104404,9.9048,0.6919,0.4405,-0.0815,0.0301,-0.0080,seizure
104428,9.9120,0.6440,0.4214,-0.0818,0.0288,-0.0075,seizure
104452,9.8474,0.5459,0.3304,-0.0845,0.0240,-0.0160,seizure
104476,9.9814,0.6967,0.4310,-0.0853,0.0282,-0.0069,seizure
104500,9.8904,0.8021,0.4621,-0.0813,0.0266,-0.0077,seizure
104524,9.9240,0.5962,0.3496,-0.0829,0.0248,-0.0077,seizure
104548,9.9216,0.6680,0.4118,-0.0866,0.0285,-0.0083,seizure
104572,9.9168,0.8284,0.5339,-0.0837,0.0304,-0.0059,seizure
104596,9.9527,0.6369,0.4501,-0.0807,0.0266,-0.0040,seizure
104620,9.9503,0.5124,0.3591,-0.0837,0.0293,-0.0061,seizure
104644,9.9096,0.7614,0.4621,-0.0858,0.0309,-0.0064,seizure
104668,9.9024,0.8284,0.4645,-0.0823,0.0288,-0.0043,seizure
104692,9.9503,0.5698,0.3591,-0.0826,0.0280,-0.0037,seizure
104716,9.9455,0.6129,0.3926,-0.0858,0.0298,-0.0061,seizure
104740,9.8952,0.7973,0.5195,-0.0845,0.0296,-0.0056,seizure
104764,9.9216,0.6800,0.4046,-0.0807,0.0277,-0.0045,seizure
104788,9.9288,0.5818,0.3280,-0.0842,0.0296,-0.0064,seizure
104812,9.9024,0.7518,0.4693,-0.0853,0.0304,-0.0069,seizure
104836,9.9455,0.7614,0.5148,-0.0823,0.0285,-0.0048,seizure
104860,9.9359,0.5674,0.4286,-0.0821,0.0298,-0.0045,seizure
104884,9.9264,0.6273,0.4429,-0.0855,0.0312,-0.0056,seizure
104908,9.9072,0.8188,0.4549,-0.0845,0.0296,-0.0051,seizure
104932,9.9240,0.7183,0.3735,-0.0821,0.0277,-0.0048,seizure
104956,9.9383,0.5818,0.3543,-0.0839,0.0290,-0.0048,seizure
104980,9.9288,0.7111,0.4764,-0.0855,0.0290,-0.0059,seizure
105004,9.9048,0.7302,0.5052,-0.0826,0.0282,-0.0051,seizure
105028,9.9216,0.6273,0.3759,-0.0831,0.0274,-0.0048,seizure
105052,9.9288,0.6704,0.3735,-0.0853,0.0290,-0.0056,seizure
105076,9.9168,0.7877,0.4525,-0.0847,0.0296,-0.0045,seizure
105100,9.9192,0.6704,0.4405,-0.0818,0.0282,-0.0051,seizure
105124,9.9216,0.5435,0.4070,-0.0834,0.0293,-0.0059,seizure
105148,9.9240,0.7111,0.4908,-0.0855,0.0306,-0.0064,seizure
105172,9.9144,0.7805,0.4836,-0.0834,0.0280,-0.0048,seizure
105196,9.9264,0.6536,0.3807,-0.0829,0.0280,-0.0040,seizure
105220,9.9335,0.6273,0.3567,-0.0853,0.0288,-0.0053,seizure
105244,9.9264,0.7422,0.4381,-0.0850,0.0288,-0.0059,seizure
105268,9.9311,0.6752,0.4501,-0.0821,0.0288,-0.0051,seizure
105292,9.9407,0.5866,0.3639,-0.0837,0.0282,-0.0056,seizure
105316,9.9192,0.7350,0.4118,-0.0853,0.0293,-0.0061,seizure
105340,9.9072,0.7757,0.4357,-0.0831,0.0285,-0.0053,seizure
105364,9.8569,0.6081,0.2897,-0.0823,0.0453,-0.0037,seizure
105388,9.9264,0.6009,0.3735,-0.0853,0.0389,-0.0043,seizure
105412,9.9695,0.7590,0.5435,-0.0853,0.0213,-0.0056,seizure
105436,9.9144,0.7230,0.4525,-0.0826,0.0280,-0.0056,seizure
105460,9.9192,0.6201,0.3903,-0.0842,0.0288,-0.0051,seizure
105484,9.8976,0.7015,0.4070,-0.0842,0.0320,-0.0045,seizure
105508,9.7468,0.7207,0.3519,-0.0834,0.1503,-0.0027,seizure
105532,10.0987,0.6225,0.5938,-0.0810,0.1471,-0.0045,seizure
105556,10.0054,0.6416,0.5602,-0.0837,0.0362,-0.0069,seizure
105580,9.8090,0.7709,0.4860,-0.0837,0.0163,-0.0075,seizure
